Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
2597,CA-2017-149048,2017-05-13,2017-05-17,Standard Class,BM-11650,Brian Moss,Corporate,United States,Columbus,Indiana,47201,Central,TEC-PH-10002310,Technology,Phones,Plantronics Calisto P620-M USB Wireless Speakerphone System,587.97,3,0.0,158.7519
2754,CA-2015-155306,2015-04-17,2015-04-21,Standard Class,GA-14515,George Ashbrook,Consumer,United States,San Francisco,California,94122,West,TEC-AC-10003174,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,323.37,3,0.0,129.348
3061,CA-2016-144554,2016-11-07,2016-11-12,Standard Class,DM-13345,Denise Monton,Corporate,United States,Newark,Ohio,43055,East,TEC-AC-10002800,Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,119.976,3,0.2,22.4955
3111,CA-2016-121671,2016-07-17,2016-07-22,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Springfield,Missouri,65807,Central,OFF-PA-10001934,Office Supplies,Paper,Xerox 1993,51.84,8,0.0,25.4016
3134,CA-2014-107916,2014-08-24,2014-08-26,First Class,JP-15460,Jennifer Patt,Corporate,United States,Oceanside,New York,11572,East,OFF-BI-10001116,Office Supplies,Binders,"""Wilson Jones 1"""" Hanging DublLock Ring Binders""",12.672,3,0.2,4.4352
3446,CA-2015-131779,2015-06-12,2015-06-17,Standard Class,LE-16810,Laurel Elliston,Consumer,United States,Newark,Delaware,19711,East,OFF-ST-10001505,Office Supplies,Storage,"""Perma STOR-ALL Hanging File Box, 13 1/8""""W x 12 1/4""""D x 10 1/2""""H""",29.9,5,0.0,5.083
3862,CA-2014-135755,2014-05-03,2014-05-10,Standard Class,NC-18415,Nathan Cano,Consumer,United States,Yonkers,New York,10701,East,OFF-BI-10004828,Office Supplies,Binders,GBC Poly Designer Binding Covers,40.176,3,0.2,14.5638
4160,US-2016-164588,2016-04-16,2016-04-23,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Columbus,Georgia,31907,South,OFF-AR-10003056,Office Supplies,Art,Newell 341,12.84,3,0.0,3.7236
4224,CA-2017-134565,2017-06-11,2017-06-13,Second Class,TB-21400,Tom Boeckenhauer,Consumer,United States,Seattle,Washington,98103,West,FUR-BO-10001519,Furniture,Bookcases,O'Sullivan 3-Shelf Heavy-Duty Bookcases,174.42,3,0.0,41.8608
4467,CA-2017-168641,2017-11-24,2017-12-01,Standard Class,KA-16525,Kelly Andreada,Consumer,United States,New York City,New York,10035,East,OFF-AR-10003759,Office Supplies,Art,"Crayola Anti Dust Chalk, 12/Pack",16.38,9,0.0,7.371
4668,CA-2016-116547,2016-01-10,2016-01-17,Standard Class,KB-16585,Ken Black,Corporate,United States,Seattle,Washington,98115,West,TEC-AC-10002335,Technology,Accessories,Logitech Media Keyboard K200,69.98,2,0.0,13.2962
4929,CA-2017-143245,2017-12-01,2017-12-06,Standard Class,AD-10180,Alan Dominguez,Home Office,United States,Fairfield,Connecticut,6824,East,FUR-CH-10000155,Furniture,Chairs,Global Comet Stacking Armless Chair,897.15,3,0.0,251.202
4985,CA-2015-160696,2015-09-06,2015-09-10,Standard Class,CK-12760,Cyma Kinney,Corporate,United States,Nashville,Tennessee,37211,South,OFF-FA-10003059,Office Supplies,Fasteners,Assorted Color Push Pins,7.24,5,0.2,1.1765
5030,CA-2017-139304,2017-01-29,2017-02-02,Standard Class,VG-21790,Vivek Gonzalez,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10001216,Office Supplies,Art,Newell 339,8.34,3,0.0,2.1684
5154,US-2014-121566,2014-06-30,2014-07-06,Standard Class,CS-11860,Cari Schnelling,Consumer,United States,New York City,New York,10011,East,OFF-AR-10001026,Office Supplies,Art,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",6.6,3,0.0,2.904
5192,US-2017-141943,2017-05-05,2017-05-09,Standard Class,DK-12985,Darren Koutras,Consumer,United States,San Francisco,California,94122,West,OFF-EN-10003448,Office Supplies,Envelopes,"Peel & Seel Recycled Catalog Envelopes, Brown",23.16,2,0.0,11.58
5209,CA-2015-102015,2015-09-12,2015-09-18,Standard Class,TM-21010,Tamara Manning,Consumer,United States,Auburn,New York,13021,East,OFF-PA-10002464,Office Supplies,Paper,HP Office Recycled Paper (20Lb. and 87 Bright),28.9,5,0.0,14.161
5479,CA-2016-121356,2016-11-20,2016-11-24,Standard Class,SJ-20500,Shirley Jackson,Consumer,United States,Newark,Delaware,19711,East,OFF-BI-10002133,Office Supplies,Binders,"""Wilson Jones Elliptical Ring 3 1/2"""" Capacity Binders",800.0,1284,3.0,0.0
5860,CA-2015-108119,2015-11-01,2015-11-08,Standard Class,MS-17530,MaryBeth Skach,Consumer,United States,Conway,Arkansas,72032,South,FUR-TA-10002530,Furniture,Tables,"""Iceberg OfficeWorks 42"""" Round Tables""",301.96,2,0.0,45.294
6069,CA-2017-166695,2017-05-20,2017-05-24,Standard Class,CC-12430,Chuck Clark,Home Office,United States,Lakewood,California,90712,West,FUR-FU-10002191,Furniture,Furnishings,G.E. Halogen Desk Lamp Bulbs,6.98,1,0.0,3.3504
6125,CA-2017-145772,2017-06-03,2017-06-07,Standard Class,SS-20140,Saphhira Shifley,Corporate,United States,Los Angeles,California,90036,West,TEC-AC-10003038,Technology,Accessories,Kingston Digital DataTraveler 16GB USB 2.0,44.75,5,0.0,8.5025
6189,CA-2015-138954,2015-11-15,2015-11-17,First Class,MH-17785,Maya Herman,Corporate,United States,New York City,New York,10035,East,OFF-AR-10001955,Office Supplies,Art,Newell 319,119.04,6,0.0,35.712
6222,US-2017-157224,2017-09-14,2017-09-18,Second Class,JB-16000,Joy Bell-,Consumer,United States,Los Angeles,California,90045,West,OFF-LA-10000121,Office Supplies,Labels,Avery 48,56.7,9,0.0,26.082
6290,US-2015-139675,2015-03-13,2015-03-18,Second Class,NF-18595,Nicole Fjeld,Home Office,United States,Chico,California,95928,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,915.136,4,0.2,102.9528
6432,CA-2014-165764,2014-11-03,2014-11-07,Standard Class,SH-20395,Shahid Hopkins,Consumer,United States,Jacksonville,North Carolina,28540,South,OFF-BI-10002982,Office Supplies,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,14.301,7,0.7,-10.4874
6533,US-2017-107384,2017-12-04,2017-12-08,Standard Class,TP-21130,Theone Pippenger,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10004595,Technology,Accessories,First Data TMFD35 PIN Pad,142.8,1,0.0,29.988
6981,CA-2014-146990,2014-11-07,2014-11-08,First Class,BP-11095,Bart Pistole,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC,5.92,4,0.0,2.8416
7022,CA-2014-124737,2014-08-23,2014-08-27,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Denver,Colorado,80219,West,FUR-FU-10003274,Furniture,Furnishings,Regeneration Desk Collection,4.224,3,0.2,1.2672
7528,US-2017-106145,2017-09-26,2017-09-26,Same Day,RA-19885,Ruben Ausman,Corporate,United States,San Francisco,California,94109,West,FUR-FU-10003829,Furniture,Furnishings,Stackable Trays,9.24,3,0.0,2.9568
7893,CA-2016-148684,2016-12-25,2016-12-29,Standard Class,TS-21655,Trudy Schmidt,Consumer,United States,Fayetteville,Arkansas,72701,South,OFF-PA-10003302,Office Supplies,Paper,Xerox 1906,106.32,3,0.0,49.9704
7910,CA-2016-149762,2016-12-03,2016-12-07,Standard Class,RD-19720,Roger Demir,Consumer,United States,Morgan Hill,California,95037,West,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,21.92,8,0.0,5.9184
8175,CA-2014-114125,2014-07-09,2014-07-13,Standard Class,GH-14410,Gary Hansen,Home Office,United States,Los Angeles,California,90049,West,OFF-ST-10001505,Office Supplies,Storage,"""Perma STOR-ALL Hanging File Box, 13 1/8""""W x 12 1/4""""D x 10 1/2""""H""",23.92,4,0.0,4.0664
8211,CA-2017-128769,2017-09-07,2017-09-12,Standard Class,DM-12955,Dario Medina,Corporate,United States,Nashville,Tennessee,37211,South,OFF-AP-10001271,Office Supplies,Appliances,Eureka The Boss Cordless Rechargeable Stick Vac,81.568,2,0.2,7.1372
8366,CA-2017-157273,2017-01-30,2017-02-02,First Class,SZ-20035,Sam Zeldin,Home Office,United States,Seattle,Washington,98105,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,604.768,4,0.2,60.4768
8418,CA-2017-118199,2017-05-09,2017-05-11,First Class,LB-16795,Laurel Beltran,Home Office,United States,Seattle,Washington,98105,West,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,104.28,3,0.0,26.07
8427,CA-2015-128356,2015-10-02,2015-10-07,Standard Class,RP-19390,Resi P�lking,Consumer,United States,Thornton,Colorado,80229,West,OFF-SU-10004290,Office Supplies,Supplies,"""Acme Design Line 8"""" Stainless Steel Bent Scissors w/Champagne Handles",318.0,10944,2.0,0.2
8591,CA-2017-126676,2017-09-29,2017-10-01,First Class,FH-14365,Fred Hopkins,Corporate,United States,Hempstead,New York,11550,East,OFF-EN-10004846,Office Supplies,Envelopes,Letter or Legal Size Expandable Poly String Tie Envelopes,7.98,3,0.0,3.9102
8616,CA-2016-165918,2016-09-10,2016-09-14,Standard Class,BD-11770,Bryan Davis,Consumer,United States,Edmonds,Washington,98026,West,OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders,14.256,3,0.2,4.455
8696,CA-2017-127096,2017-09-15,2017-09-17,Second Class,CS-12400,Christopher Schild,Home Office,United States,San Francisco,California,94109,West,FUR-TA-10003473,Furniture,Tables,Bretford Rectangular Conference Table Tops,300.904,1,0.2,11.2839
8734,CA-2017-116988,2017-06-27,2017-06-29,Second Class,PW-19030,Pauline Webber,Corporate,United States,Seattle,Washington,98105,West,FUR-FU-10001290,Furniture,Furnishings,Executive Impressions Supervisor Wall Clock,126.3,3,0.0,40.416
8855,US-2015-115343,2015-09-22,2015-09-25,First Class,FO-14305,Frank Olsen,Consumer,United States,Philadelphia,Pennsylvania,19143,East,TEC-AC-10003832,Technology,Accessories,Logitech�P710e Mobile Speakerphone,617.976,3,0.2,-7.7247
9148,US-2016-165505,2016-01-23,2016-01-27,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Burlington,Vermont,5408,East,OFF-AR-10003477,Office Supplies,Art,4009 Highlighters,8.04,6,0.0,2.7336
9409,CA-2017-162789,2017-09-22,2017-09-24,Second Class,LC-17140,Logan Currie,Consumer,United States,New York City,New York,10035,East,FUR-FU-10004864,Furniture,Furnishings,Eldon 500 Class Desk Accessories,12.07,1,0.0,3.9831
9500,CA-2017-118213,2017-11-05,2017-11-07,First Class,AB-10060,Adam Bellavance,Home Office,United States,Greenwood,Indiana,46142,Central,OFF-PA-10003673,Office Supplies,Paper,Strathmore Photo Mount Cards,67.8,10,0.0,31.188
9850,CA-2014-142979,2014-04-12,2014-04-18,Standard Class,EH-13765,Edward Hooks,Corporate,United States,Lodi,California,95240,West,OFF-AR-10002987,Office Supplies,Art,Prismacolor Color Pencil Set,39.68,2,0.0,16.2688
9974,US-2016-103674,2016-12-06,2016-12-10,Standard Class,AP-10720,Anne Pryor,Home Office,United States,Los Angeles,California,90032,West,TEC-PH-10004080,Technology,Phones,Avaya 5410 Digital phone,271.96,5,0.2,27.196
237,CA-2017-160514,2017-11-12,2017-11-16,Standard Class,DB-13120,David Bremer,Corporate,United States,Santa Clara,California,95051,West,OFF-PA-10002479,Office Supplies,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),10.56,2,0.0,4.752
822,CA-2014-140858,2014-06-28,2014-07-02,Standard Class,CA-12775,Cynthia Arntzen,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-PA-10003395,Office Supplies,Paper,Xerox 1941,335.52,4,0.2,117.432
915,CA-2017-102519,2017-11-27,2017-11-29,First Class,BM-11650,Brian Moss,Corporate,United States,Milwaukee,Wisconsin,53209,Central,TEC-AC-10001772,Technology,Accessories,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,143.73,9,0.0,56.0547
1285,US-2015-149692,2015-12-06,2015-12-12,Standard Class,KW-16435,Katrina Willman,Consumer,United States,Austin,Texas,78745,Central,OFF-BI-10002813,Office Supplies,Binders,Avery Reinforcements for Hole-Punch Pages,2.772,7,0.8,-4.851
1461,CA-2015-119907,2015-12-01,2015-12-08,Standard Class,LC-17140,Logan Currie,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10001765,Office Supplies,Binders,Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,55.424,2,0.2,19.3984
2272,CA-2015-102036,2015-09-21,2015-09-27,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Seattle,Washington,98105,West,OFF-ST-10003123,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,199.74,6,0.0,47.9376
2446,CA-2016-146934,2016-05-22,2016-05-27,Standard Class,AF-10870,Art Ferguson,Consumer,United States,Passaic,New Jersey,7055,East,TEC-PH-10001336,Technology,Phones,Digium D40 VoIP phone,257.98,2,0.0,74.8142
2582,US-2014-155502,2014-01-26,2014-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,United States,Alexandria,Virginia,22304,South,OFF-PA-10000380,Office Supplies,Paper,"""REDIFORM Incoming/Outgoing Call Register, 11"""" X 8 1/2""""",100.0,1668,2.0,0.0
2679,US-2014-160780,2014-06-21,2014-06-21,Same Day,SV-20785,Stewart Visinsky,Consumer,United States,Pueblo,Colorado,81001,West,OFF-BI-10002931,Office Supplies,Binders,"""Avery Trapezoid Extra Heavy Duty 4"""" Binders""",25.164,2,0.7,-16.776
2866,US-2017-103828,2017-08-13,2017-08-13,Same Day,JK-15370,Jay Kimmel,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10000588,Office Supplies,Art,Newell 345,59.52,3,0.0,15.4752
3497,CA-2016-107328,2016-08-08,2016-08-15,Standard Class,CA-12055,Cathy Armstrong,Home Office,United States,Los Angeles,California,90036,West,FUR-TA-10001932,Furniture,Tables,"""Chromcraft 48"""" x 96"""" Racetrack Double Pedestal Table""",513.024,2,0.2,12.8256
3584,CA-2015-121650,2015-12-10,2015-12-16,Standard Class,KD-16495,Keith Dawkins,Corporate,United States,Jackson,Michigan,49201,Central,FUR-TA-10003569,Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,801.96,2,0.0,200.49
3897,CA-2017-134285,2017-12-07,2017-12-12,Standard Class,DS-13180,David Smith,Corporate,United States,San Antonio,Texas,78207,Central,OFF-FA-10000611,Office Supplies,Fasteners,Binder Clips by OIC,3.552,3,0.2,1.2432
3955,CA-2014-133228,2014-04-04,2014-04-09,Standard Class,MS-17710,Maurice Satty,Consumer,United States,Detroit,Michigan,48205,Central,FUR-FU-10004020,Furniture,Furnishings,Advantus Panel Wall Acrylic Frame,5.47,1,0.0,2.3521
4007,US-2015-168732,2015-12-10,2015-12-16,Standard Class,KM-16660,Khloe Miller,Consumer,United States,Roswell,Georgia,30076,South,OFF-PA-10000520,Office Supplies,Paper,Xerox 201,25.92,4,0.0,12.4416
4095,CA-2015-102491,2015-08-24,2015-08-28,Standard Class,KW-16435,Katrina Willman,Consumer,United States,Florence,Kentucky,41042,South,TEC-AC-10003289,Technology,Accessories,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,79.96,4,0.0,18.3908
4317,CA-2015-115945,2015-06-25,2015-07-01,Standard Class,AB-10165,Alan Barnes,Consumer,United States,Los Angeles,California,90045,West,OFF-ST-10001963,Office Supplies,Storage,Tennsco Regal Shelving Units,304.23,3,0.0,9.1269
4385,US-2015-122784,2015-07-20,2015-07-27,Standard Class,RA-19915,Russell Applegate,Consumer,United States,Highland Park,Illinois,60035,Central,TEC-PH-10001557,Technology,Phones,Pyle PMP37LED,153.584,2,0.2,13.4386
4759,CA-2014-121573,2014-11-03,2014-11-07,Standard Class,SG-20605,Speros Goranitis,Consumer,United States,New York City,New York,10009,East,TEC-PH-10000984,Technology,Phones,Panasonic KX-TG9471B,783.96,4,0.0,219.5088
5260,CA-2017-158722,2017-10-20,2017-10-26,Standard Class,MA-17560,Matt Abelman,Home Office,United States,Philadelphia,Pennsylvania,19120,East,OFF-PA-10000176,Office Supplies,Paper,Xerox 1887,45.528,3,0.2,15.9348
5456,CA-2017-160962,2017-04-28,2017-05-02,Standard Class,MC-17605,Matt Connell,Corporate,United States,Philadelphia,Pennsylvania,19143,East,OFF-AR-10003056,Office Supplies,Art,Newell 341,6.848,2,0.2,0.7704
5541,US-2017-150595,2017-05-22,2017-05-26,Standard Class,LE-16810,Laurel Elliston,Consumer,United States,Chicago,Illinois,60653,Central,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",1.592,2,0.8,-2.6268
5562,CA-2017-133263,2017-03-31,2017-04-02,Second Class,JE-15610,Jim Epp,Corporate,United States,Atlanta,Georgia,30318,South,OFF-BI-10001153,Office Supplies,Binders,Ibico Recycled Grain-Textured Covers,34.54,1,0.0,17.27
5623,US-2016-124163,2016-09-25,2016-09-30,Standard Class,SC-20695,Steve Chapman,Corporate,United States,La Crosse,Wisconsin,54601,Central,FUR-FU-10000755,Furniture,Furnishings,Eldon Expressions Mahogany Wood Desk Collection,68.64,11,0.0,17.16
5949,CA-2017-161046,2017-03-05,2017-03-05,Same Day,CB-12535,Claudia Bergmann,Corporate,United States,Southaven,Mississippi,38671,South,OFF-EN-10003862,Office Supplies,Envelopes,Laser & Ink Jet Business Envelopes,42.68,4,0.0,19.6328
6169,CA-2015-132815,2015-09-19,2015-09-22,Second Class,RW-19540,Rick Wilson,Corporate,United States,Los Angeles,California,90008,West,OFF-PA-10004530,Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,22.96,2,0.0,11.2504
6356,CA-2014-110611,2014-10-06,2014-10-13,Standard Class,JD-16015,Joy Daniels,Consumer,United States,Philadelphia,Pennsylvania,19120,East,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",83.92,5,0.2,-13.637
6386,US-2017-104661,2017-01-15,2017-01-18,First Class,TB-21250,Tim Brockman,Consumer,United States,Austin,Texas,78745,Central,TEC-AC-10002331,Technology,Accessories,"Maxell 74 Minute CDR, 10/Pack",62.592,8,0.2,13.3008
6639,CA-2017-103352,2017-11-27,2017-11-30,Second Class,RP-19390,Resi P�lking,Consumer,United States,New York City,New York,10011,East,OFF-BI-10001196,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",107.424,6,0.2,36.2556
6732,CA-2015-156734,2015-06-18,2015-06-20,First Class,BV-11245,Benjamin Venier,Corporate,United States,Smyrna,Tennessee,37167,South,OFF-PA-10001937,Office Supplies,Paper,Xerox 21,20.736,4,0.2,7.2576
6772,CA-2017-139402,2017-12-09,2017-12-13,Standard Class,NC-18535,Nick Crebassa,Corporate,United States,Phoenix,Arizona,85023,West,OFF-BI-10000279,Office Supplies,Binders,"""Acco Recycled 2"""" Capacity Laser Printer Hanging Data Binders""",13.005,3,0.7,-9.9705
7123,CA-2017-166926,2017-12-01,2017-12-08,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Seattle,Washington,98105,West,FUR-BO-10002598,Furniture,Bookcases,"Hon Metal Bookcases, Putty",141.96,2,0.0,41.1684
7304,US-2017-117450,2017-09-04,2017-09-08,Standard Class,DO-13645,Doug O'Connell,Consumer,United States,Boynton Beach,Florida,33437,South,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",97.184,2,0.2,6.074
7307,CA-2016-144092,2016-11-05,2016-11-07,Second Class,LH-17155,Logan Haushalter,Consumer,United States,San Jose,California,95123,West,TEC-AC-10002305,Technology,Accessories,KeyTronic�E03601U1 -�Keyboard�- Beige,72.0,4,0.0,12.96
7684,CA-2015-120782,2015-04-28,2015-05-01,First Class,SD-20485,Shirley Daniels,Home Office,United States,Midland,Michigan,48640,Central,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,3812.97,3,0.0,1906.485
7780,CA-2016-139381,2016-04-18,2016-04-22,Standard Class,RF-19840,Roy Franz�sisch,Consumer,United States,Chesapeake,Virginia,23320,South,OFF-AP-10001271,Office Supplies,Appliances,Eureka The Boss Cordless Rechargeable Stick Vac,203.92,4,0.0,55.0584
8112,CA-2016-130393,2016-12-01,2016-12-03,Second Class,JM-15865,John Murray,Consumer,United States,San Angelo,Texas,76903,Central,FUR-CH-10002647,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",248.43,5,0.3,-17.745
8338,CA-2014-153087,2014-12-27,2015-01-03,Standard Class,TC-20980,Tamara Chand,Corporate,United States,Decatur,Alabama,35601,South,OFF-PA-10001243,Office Supplies,Paper,Xerox 1983,23.92,4,0.0,11.7208
8730,CA-2015-103870,2015-12-27,2015-12-31,Standard Class,SP-20860,Sung Pak,Corporate,United States,Murfreesboro,Tennessee,37130,South,OFF-ST-10002562,Office Supplies,Storage,Staple magnet,22.512,3,0.2,2.2512
9527,CA-2017-156958,2017-12-05,2017-12-06,First Class,PB-18805,Patrick Bzostek,Home Office,United States,Seattle,Washington,98115,West,TEC-PH-10000148,Technology,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,31.176,3,0.2,-7.0146
9549,CA-2016-131744,2016-06-18,2016-06-20,Second Class,SC-20770,Stewart Carmichael,Corporate,United States,Philadelphia,Pennsylvania,19134,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,4.626,2,0.7,-3.855
9648,CA-2014-150518,2014-11-19,2014-11-24,Standard Class,MW-18220,Mitch Webber,Consumer,United States,Coon Rapids,Minnesota,55433,Central,OFF-ST-10000877,Office Supplies,Storage,Recycled Steel Personal File for Standard File Folders,221.16,4,0.0,57.5016
9856,CA-2017-138870,2017-06-19,2017-06-23,Standard Class,GA-14515,George Ashbrook,Consumer,United States,San Francisco,California,94109,West,OFF-PA-10004438,Office Supplies,Paper,Xerox 1907,24.56,2,0.0,11.5432
9963,CA-2015-168088,2015-03-19,2015-03-22,First Class,CM-12655,Corinna Mitchell,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10004218,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",383.4656,4,0.32,-67.6704
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694
510,CA-2015-145352,2015-03-16,2015-03-22,Standard Class,CM-12385,Christopher Martinez,Consumer,United States,Atlanta,Georgia,30318,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,6354.95,5,0.0,3177.475
826,US-2014-102071,2014-05-09,2014-05-15,Standard Class,PG-18820,Patrick Gardner,Consumer,United States,San Francisco,California,94110,West,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,167.97,3,0.0,40.3128
988,CA-2015-146829,2015-03-10,2015-03-10,Same Day,TS-21340,Toby Swindell,Consumer,United States,Houston,Texas,77041,Central,OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder,1.112,2,0.8,-1.8904
